Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source type","Source subtype",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,"Pesquisa e Planejamento Econômico (PPE): v. 54, n. 01, abr. 2024.","Economic Research and Planning (PPE): v. 54, n. 01, Apr. 2024.",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2024-11-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=365f890e-f89d-4d32-b5bb-974e1d0b2f72,https://app.overton.io/document.php?policy_document_id=ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,,,Equation|Child|Tax,por,,
ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,"Pesquisa e Planejamento Econômico (PPE): v. 54, n. 01, abr. 2024.","Economic Research and Planning (PPE): v. 54, n. 01, Apr. 2024.",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2024-11-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=365f890e-f89d-4d32-b5bb-974e1d0b2f72,https://app.overton.io/document.php?policy_document_id=ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,,,"São Paulo (state)|Econometrics|São Paulo",por,,
internationaltransportforum-7d2a59c34d6abc7bc353e2dcfaf78a74,"Fare’s Fair: Experiences and Impacts of Fare Policies",,Publication,"International Transport Forum",IGO,,igo,,2024-10-23,0,0,https://www.itf-oecd.org/fares-fair-experiences-impacts-fare-policies,https://app.overton.io/document.php?policy_document_id=internationaltransportforum-7d2a59c34d6abc7bc353e2dcfaf78a74,,,"Cost of living|Public transport|Los Angeles County Metropolitan Transportation Authority",eng,,
trafa-27d08bd02cf29ede95b28d27bd77c0e6,"ABC om tillgänglighet","ABC of accessibility",Publication,Trafikanalys,Sweden,,government,agency,2024-08-26,0,0,https://www.trafa.se/etiketter/transportovergripande/abc-om-tillganglighet-14864/,https://app.overton.io/document.php?policy_document_id=trafa-27d08bd02cf29ede95b28d27bd77c0e6,,,"Supply and demand|Measure (mathematics)|Disability",swe,,
izade-d3e75805e3caee76efee97cb255a45bf,"Commuting, Wages, and Household Behavior",,"Working paper","IZA Institute of Labor Economics",Germany,,"think tank",,2024-07-05,0,0,https://www.iza.org/publications/dp/17128/commuting-wages-and-household-behavior,https://app.overton.io/document.php?policy_document_id=izade-d3e75805e3caee76efee97cb255a45bf,,,"Labour economics|Panel Study of Income Dynamics|Economics",eng,,
vtise-734d09ca4d2f48302a746d4d1901c74b,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility : an empirical comparative study",Publication,VTI,Sweden,,government,,2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1907453&c=113&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-734d09ca4d2f48302a746d4d1901c74b,,,"Statistics|Measure (mathematics)|Correlation",swe,,
vtise-d07f074bd477fd851b280d707b086adc,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility : an empirical comparative study",Publication,VTI,Sweden,,government,,2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1907453&c=58&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-d07f074bd477fd851b280d707b086adc,,,"Statistics|Measure (mathematics)|Correlation",swe,,
vtise-e2ed973e8e4c0b1bc182a5c68e031ec7,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility : an empirical comparative study",Publication,VTI,Sweden,,government,,2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1907453&c=59&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-e2ed973e8e4c0b1bc182a5c68e031ec7,,,"Statistics|Measure (mathematics)|Correlation",swe,,
vtise-4cfd32285175c6be32a1a3052855ac19,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,government,,2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1860612&c=118&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-4cfd32285175c6be32a1a3052855ac19,,,"Survey methodology|Logistic regression|Public transport",eng,,
vtise-67f0bd6afe11f9b4f35e1660355495aa,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,government,,2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1860612&c=136&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-67f0bd6afe11f9b4f35e1660355495aa,,,"Survey methodology|Logistic regression|Public transport",eng,,
vtise-818be2f9c284c22ea754e1dbc39832a7,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,government,,2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1860612&c=256&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-818be2f9c284c22ea754e1dbc39832a7,,,"Survey methodology|Logistic regression|Public transport",eng,,
vtise-cbb6f6fa865a274b79df08a1ca3fe76e,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,government,,2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1860612&c=201&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-cbb6f6fa865a274b79df08a1ca3fe76e,,,"Survey methodology|Logistic regression|Public transport",eng,,
vtise-48c8c73dbdcbd856b1d75552009d78ed,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,government,,2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1860612&c=202&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-48c8c73dbdcbd856b1d75552009d78ed,,,"Survey methodology|Logistic regression|Public transport",eng,,
bankofmexico-377d059c8178f0defb3f0df71e7c5d8f,"2024-02: Transporte Público y Precios al Consumidor: Tiendas de Cadena, Comercios Semifijos y Pequeños Negocios","2024-02: Public Transport and Consumer Prices: Chain Stores, Semi-Fixed Shops and Small Businesses","Working paper","Banco de México (Banxico)",Mexico,,government,bank,2024-05-16,0,0,https://www.banxico.org.mx/DIBM/web/documento/visor.html?clave=2024-02,https://app.overton.io/document.php?policy_document_id=bankofmexico-377d059c8178f0defb3f0df71e7c5d8f,,,"Point estimation|Bus rapid transit|Pricing",eng,"Angel Espinoza E.",
trafa-7c601cd3c5c99a8cb10c04236cfd871a,"Tillgänglighet – teori och praktik","Accessibility – theory and practice",Publication,Trafikanalys,Sweden,,government,agency,2024-03-27,0,1,https://www.trafa.se/etiketter/transportovergripande/abc-om-tillganglighet-14556/,https://app.overton.io/document.php?policy_document_id=trafa-7c601cd3c5c99a8cb10c04236cfd871a,,,"Supply and demand|Measure (mathematics)|Information",swe,,
anses-c7ac37fe22e32a2e5365df3d25ffdbdb,"Annexe de l'Avis de l'Anses relatif à l’état des connaissances sur l’influence du travail à distance sur la santé des travailleurs - Télétravail : Effets sur la santé et les conditions de travail - Revue de la littérature 2023","Annex to the ANSES Opinion relating to the state of knowledge on the influence of remote working on the health of workers - Teleworking: Effects on health and working conditions - Literature review 2023",Publication,ANSES,France,,government,"food and drug safety",2024-02-12,0,0,https://www.anses.fr/fr/system/files/AP2021SA0091-Anx-RapportCRD.pdf,https://app.overton.io/document.php?policy_document_id=anses-c7ac37fe22e32a2e5365df3d25ffdbdb,,,"Remote work|Outline of working time and conditions|COVID-19 pandemic",fre,,
