Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,"Pesquisa e Planejamento Econômico (PPE): v. 54, n. 01, abr. 2024.","Economic Research and Planning (PPE): v. 54, n. 01, Apr. 2024.",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2024-11-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=365f890e-f89d-4d32-b5bb-974e1d0b2f72,https://app.overton.io/document.php?policy_document_id=ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,,,"Average|Bolsa Família|Brasília",por,,"SDG 10: Reduced Inequality|SDG 8: Decent Work and Economic Growth|SDG 4: Quality Education|SDG 3: Good Health and Well-being","Brazilian tax system and its redistributive impacts"
ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,"Pesquisa e Planejamento Econômico (PPE): v. 54, n. 01, abr. 2024.","Economic Research and Planning (PPE): v. 54, n. 01, Apr. 2024.",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2024-11-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=365f890e-f89d-4d32-b5bb-974e1d0b2f72,https://app.overton.io/document.php?policy_document_id=ipeabr-cbfcb88840c420afbdb44f4a3e93afd3,,,Barueri|Econometrics|Economy,por,,"SDG 10: Reduced Inequality|SDG 8: Decent Work and Economic Growth|SDG 3: Good Health and Well-being|SDG 4: Quality Education","Identification of central regions of employment in the metropolitan region of São Paulo"
internationaltransportforum-7d2a59c34d6abc7bc353e2dcfaf78a74,"Fare’s Fair: Experiences and Impacts of Fare Policies",,Publication,"International Transport Forum",IGO,,"Public Sector","Think Tank","International Body|OVSEP|IGO Department or Agency|OVSEP|Policy Centre|OVSEP|Monitoring or Regulatory Body|OVSEP|Top-Level Authority",2024-10-23,0,0,https://www.itf-oecd.org/fares-fair-experiences-impacts-fare-policies,https://app.overton.io/document.php?policy_document_id=internationaltransportforum-7d2a59c34d6abc7bc353e2dcfaf78a74,,,"Accessibility|Bicycle-sharing system|Bus rapid transit",eng,,"SDG 11: Sustainable Cities and Communities","Fare policies and transport management"
trafa-27d08bd02cf29ede95b28d27bd77c0e6,"ABC om tillgänglighet","ABC of accessibility",Publication,Trafikanalys,Sweden,,"Public Sector",Government,"National Body|OVSEP|Government Agency|OVSEP|Policy Centre",2024-08-26,0,0,https://www.trafa.se/etiketter/transportovergripande/abc-om-tillganglighet-14864/,https://app.overton.io/document.php?policy_document_id=trafa-27d08bd02cf29ede95b28d27bd77c0e6,,,"Branches of science|Communication|Culture",swe,,,"Accessibility in Sweden"
izade-d3e75805e3caee76efee97cb255a45bf,"Commuting, Wages, and Household Behavior",,"Working paper","IZA Institute of Labor Economics",Germany,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2024-07-05,0,0,https://www.iza.org/publications/dp/17128/commuting-wages-and-household-behavior,https://app.overton.io/document.php?policy_document_id=izade-d3e75805e3caee76efee97cb255a45bf,,,"Commuting|Consumption (economics)|Correlation",eng,,"SDG 8: Decent Work and Economic Growth","Commuting behaviors of workers in dual-earner households"
vtise-734d09ca4d2f48302a746d4d1901c74b,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility : an empirical comparative study",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1907453&c=113&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-734d09ca4d2f48302a746d4d1901c74b,,,"Correlation|Measure (mathematics)|Public transport",swe,,,"Accessibility study"
vtise-d07f074bd477fd851b280d707b086adc,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility : an empirical comparative study",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1907453&c=58&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-d07f074bd477fd851b280d707b086adc,,,"Correlation|Measure (mathematics)|Public transport",swe,,"SDG 11: Sustainable Cities and Communities","Accessibility in transportation planning"
vtise-e2ed973e8e4c0b1bc182a5c68e031ec7,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility : an empirical comparative study",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1907453&c=59&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-e2ed973e8e4c0b1bc182a5c68e031ec7,,,"Correlation|Measure (mathematics)|Public transport",swe,,"SDG 11: Sustainable Cities and Communities","Accessibility in transport planning"
vtise-2696fc80928fd7c9b924ac82eaacd899,"Skillnader mellan objektiv och subjektiv tillgänglighet : en empirisk jämförande studie","Differences between objective and subjective accessibility: an empirical comparative study",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-06-17,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1907453&c=199&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-2696fc80928fd7c9b924ac82eaacd899,,,"Correlation|Measure (mathematics)|Public transport",swe,,"SDG 11: Sustainable Cities and Communities","Differences between objective and subjective accessibility"
vtise-4cfd32285175c6be32a1a3052855ac19,"Potential of demand responsive transport for young people in Sweden",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2024-05-23,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1860612&c=118&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-4cfd32285175c6be32a1a3052855ac19,,,"Attitude (psychology)|Behavior|Categorical variable",eng,,"SDG 11: Sustainable Cities and Communities","Demand Responsive Transport for Young People in Sweden"
