"Subject area",Topic,"Document count","Reason highlighted"
All,Transport,75,"seen frequently"
All,Research,60,"seen frequently"
All,Economy,58,"seen frequently"
All,"Public transport",54,"seen more often than expected in this context"
All,"Human activities",49,"seen frequently"
All,Accessibility,48,"seen more often than expected in this context"
All,Health,48,"seen frequently"
All,Poverty,46,"seen frequently"
All,"Branches of science",38,"seen frequently"
All,Employment,31,"seen frequently"
All,Statistics,29,"seen frequently"
All,Economics,28,"seen frequently"
All,Sustainability,28,"seen frequently"
All,Infrastructure,27,"seen frequently"
All,"Economic inequality",25,"seen frequently"
All,Education,25,"seen frequently"
All,"Economic growth",22,"seen frequently"
All,Risk,22,"seen frequently"
All,Data,21,"seen frequently"
All,Car,19,"seen frequently"
All,Information,19,"seen frequently"
All,"Climate change",18,"seen frequently"
All,"Computer network",18,"seen frequently"
All,"Regression analysis",18,"seen frequently"
All,"Spatial analysis",18,"seen more often than expected in this context"
All,Technology,18,"seen frequently"
All,Cycling,17,"seen more often than expected in this context"
All,"European Union",17,"seen frequently"
All,Time,17,"seen more often than expected in this context"
All,Disability,16,"seen frequently"
All,"Geographic information system",16,"seen frequently"
All,Road,16,"seen frequently"
All,"Dependent and independent variables",15,"seen frequently"
All,"Health care",15,"seen frequently"
All,"International Transport Forum",15,"seen more often than expected in this context"
All,"Labour economics",15,"seen frequently"
All,"Rapid transit",15,"seen more often than expected in this context"
All,"Social exclusion",15,"seen frequently"
All,Traffic,15,"seen frequently"
All,"Air pollution",13,"seen frequently"
All,"COVID-19 pandemic",13,"seen frequently"
All,Geography,13,"seen frequently"
All,Policy,13,"seen frequently"
All,Science,13,"seen frequently"
All,Ageing,12,"seen frequently"
All,"Food security",12,"seen frequently"
All,"Logistic regression",12,"seen more often than expected in this context"
All,"Correlation and dependence",11,"seen frequently"
All,Database,11,"seen frequently"
All,"Errors and residuals",11,"seen frequently"
All,"Greenhouse gas",11,"seen frequently"
All,Bus,10,"seen frequently"
All,Canada,10,"seen frequently"
All,Census,10,"seen frequently"
All,City,10,"seen frequently"
All,"Climate resilience",10,"seen frequently"
All,"Cost–benefit analysis",10,"seen frequently"
All,Culture,10,"seen frequently"
All,"Discrete choice",10,"seen more often than expected in this context"
All,"Economic development",10,"seen frequently"
All,Flood,10,"seen frequently"
All,"Market (economics)",10,"seen frequently"
All,"Natural environment",10,"seen frequently"
All,Parameter,10,"seen frequently"
All,"Bus rapid transit",9,"seen more often than expected in this context"
All,Demography,9,"seen frequently"
All,"Gross domestic product",9,"seen frequently"
All,OECD,9,"seen frequently"
All,"Public health",9,"seen frequently"
All,"Quality of life",9,"seen frequently"
All,Simulation,9,"seen frequently"
All,Agriculture,8,"seen frequently"
All,Brazil,8,"seen frequently"
All,"Built environment",8,"seen more often than expected in this context"
All,Commuting,8,"seen more often than expected in this context"
All,"Data analysis",8,"seen frequently"
All,"Developing country",8,"seen frequently"
All,Evaluation,8,"seen frequently"
All,Externality,8,"seen frequently"
All,Governance,8,"seen frequently"
All,Innovation,8,"seen frequently"
All,Investment,8,"seen frequently"
All,Population,8,"seen frequently"
All,"Affordable housing",7,"seen frequently"
All,Analysis,7,"seen frequently"
All,Biodiversity,7,"seen frequently"
All,Brasília,7,"seen more often than expected in this context"
All,"Capability approach",7,"seen more often than expected in this context"
All,"Climate change mitigation",7,"seen frequently"
All,"Coefficient of determination",7,"seen frequently"
All,"Cycling infrastructure",7,"seen frequently"
All,Disease,7,"seen frequently"
All,"Function (mathematics)",7,"seen frequently"
All,Gender,7,"seen frequently"
All,Goiânia,7,"seen more often than expected in this context"
All,"Linear regression",7,"seen frequently"
All,Map,7,"seen frequently"
All,"Probability distribution",7,"seen more often than expected in this context"
All,"Social inequality",7,"seen frequently"
All,Tax,7,"seen frequently"
All,"General Transit Feed Specification",4,"seen more often than expected in this context"
All,GTFS,3,"seen more often than expected in this context"
All,"Travel behavior",4,"seen more often than expected in this context"
All,"Sparse matrix",5,"seen more often than expected in this context"
All,"Genetic algorithm",3,"seen more often than expected in this context"
All,"Mode choice",7,"seen more often than expected in this context"
All,"Shortest path problem",3,"seen more often than expected in this context"
All,"Transport network analysis",4,"seen more often than expected in this context"
All,"Natal, Rio Grande do Norte",3,"seen more often than expected in this context"
All,Fortaleza,6,"seen more often than expected in this context"
All,"Measure (mathematics)",5,"seen more often than expected in this context"
All,"Google Scholar",4,"seen more often than expected in this context"
All,OpenStreetMap,5,"seen more often than expected in this context"
All,"Multinomial logistic regression",8,"seen more often than expected in this context"
All,Distance,6,"seen more often than expected in this context"
All,"Porto Alegre",5,"seen more often than expected in this context"
All,Curitiba,5,"seen more often than expected in this context"
All,"Programa Saúde da Família",3,"seen more often than expected in this context"
All,Recife,4,"seen more often than expected in this context"
All,Alagoas,5,"seen more often than expected in this context"
All,"Transportation planning",9,"seen more often than expected in this context"
All,Routing,3,"seen more often than expected in this context"
All,"Subjective well-being",6,"seen more often than expected in this context"
All,Manaus,5,"seen more often than expected in this context"
All,"Congestion pricing",6,"seen more often than expected in this context"
All,"Special Report on Emissions Scenarios",3,"seen more often than expected in this context"
All,"Belo Horizonte",4,"seen more often than expected in this context"
All,"IPCC Fifth Assessment Report",3,"seen more often than expected in this context"
All,Gravity,3,"seen more often than expected in this context"
All,Cali,4,"seen more often than expected in this context"
All,"Cluster analysis",6,"seen more often than expected in this context"
All,"High-occupancy vehicle lane",3,"seen more often than expected in this context"
All,"Life satisfaction",5,"seen more often than expected in this context"
All,Suburb,8,"seen more often than expected in this context"
All,"Climate change vulnerability",3,"seen more often than expected in this context"
All,"Bike path",3,"seen more often than expected in this context"
All,Belém,3,"seen more often than expected in this context"
All,Paratransit,3,"seen more often than expected in this context"
All,"Hybrid (biology)",3,"seen more often than expected in this context"
All,Gentrification,4,"seen more often than expected in this context"
All,Space,9,"seen more often than expected in this context"
All,"Rio de Janeiro",7,"seen more often than expected in this context"
All,Walking,5,"seen more often than expected in this context"
All,"Swedish Transport Administration",5,"seen more often than expected in this context"
All,Walkability,7,"seen more often than expected in this context"
All,"Heat wave",7,"seen more often than expected in this context"
All,Crowdsourcing,3,"seen more often than expected in this context"
All,Carpool,4,"seen more often than expected in this context"
All,"Social vulnerability",4,"seen more often than expected in this context"
All,"Self-report study",3,"seen more often than expected in this context"
All,"Vehicular automation",3,"seen more often than expected in this context"
All,"Capital expenditure",3,"seen more often than expected in this context"
All,"Eigenvalues and eigenvectors",3,"seen more often than expected in this context"
All,"Urban sprawl",6,"seen more often than expected in this context"
All,"Categorical variable",4,"seen more often than expected in this context"
All,"Representative Concentration Pathway",3,"seen more often than expected in this context"
All,"Urban open space",4,"seen more often than expected in this context"
All,"Bicycle-sharing system",3,"seen more often than expected in this context"
All,"Population decline",3,"seen more often than expected in this context"
All,"IPCC Fourth Assessment Report",3,"seen more often than expected in this context"
All,"Social network",5,"seen more often than expected in this context"
All,"Mode of transport",3,"seen more often than expected in this context"
All,Multicollinearity,4,"seen more often than expected in this context"
All,Intersectionality,7,"seen more often than expected in this context"
All,"General circulation model",3,"seen more often than expected in this context"
All,"Road pricing",3,"seen more often than expected in this context"
All,"Vision Zero",3,"seen more often than expected in this context"
All,"Global Positioning System",6,"seen more often than expected in this context"
All,"Extreme weather",5,"seen more often than expected in this context"
All,"Universal design",4,"seen more often than expected in this context"
All,"Storm surge",3,"seen more often than expected in this context"
All,"Dependency ratio",3,"seen more often than expected in this context"
All,"Transit-oriented development",3,"seen more often than expected in this context"
All,"Standard score",4,"seen more often than expected in this context"
All,Autocorrelation,4,"seen more often than expected in this context"
All,"Ocean acidification",4,"seen more often than expected in this context"
All,"World population",10,"seen more often than expected in this context"
All,"Total fertility rate",4,"seen more often than expected in this context"
All,"Rio de Janeiro (state)",3,"seen more often than expected in this context"
All,"Internal rate of return",3,"seen more often than expected in this context"
All,"Urban area",5,"seen more often than expected in this context"
All,"Active mobility",4,"seen more often than expected in this context"
All,"Toronto Transit Commission",3,"seen more often than expected in this context"
All,Eurostat,4,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Hybrid (biology)",5,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Knowledge,5,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Land transport",5,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Road transport",5,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident",Roundabout,5,"seen more often than expected in this context"
"Disaster, Accident And Emergency Incident","Speed limit",5,"seen more often than expected in this context"
