"Subject area",Topic,"Document count","Reason highlighted"
All,Transport,73,"seen frequently"
All,Economy,60,"seen frequently"
All,"Public transport",54,"seen more often than expected in this context"
All,Research,54,"seen frequently"
All,"Human activities",49,"seen frequently"
All,Poverty,47,"seen frequently"
All,Health,46,"seen frequently"
All,Accessibility,45,"seen more often than expected in this context"
All,"Branches of science",29,"seen frequently"
All,Employment,29,"seen frequently"
All,Economics,28,"seen frequently"
All,Statistics,27,"seen frequently"
All,"Economic inequality",26,"seen frequently"
All,Sustainability,25,"seen frequently"
All,Infrastructure,24,"seen frequently"
All,"Economic growth",23,"seen frequently"
All,Car,21,"seen frequently"
All,Education,21,"seen frequently"
All,Risk,21,"seen frequently"
All,"Climate change",19,"seen frequently"
All,Data,18,"seen frequently"
All,"European Union",18,"seen frequently"
All,"Regression analysis",18,"seen frequently"
All,Technology,18,"seen frequently"
All,Time,17,"seen more often than expected in this context"
All,Traffic,17,"seen frequently"
All,Cycling,16,"seen more often than expected in this context"
All,"Rapid transit",15,"seen more often than expected in this context"
All,"Social exclusion",15,"seen frequently"
All,"COVID-19 pandemic",14,"seen frequently"
All,"Computer network",14,"seen frequently"
All,"Dependent and independent variables",14,"seen frequently"
All,Disability,14,"seen frequently"
All,Information,14,"seen frequently"
All,"International Transport Forum",14,"seen more often than expected in this context"
All,Road,14,"seen frequently"
All,"Air pollution",13,"seen frequently"
All,"Geographic information system",13,"seen frequently"
All,"Health care",13,"seen frequently"
All,"Spatial analysis",13,"seen more often than expected in this context"
All,"Labour economics",12,"seen frequently"
All,"Bus rapid transit",11,"seen more often than expected in this context"
All,City,11,"seen frequently"
All,"Errors and residuals",11,"seen frequently"
All,"Greenhouse gas",11,"seen frequently"
All,Ageing,10,"seen frequently"
All,Bus,10,"seen frequently"
All,Canada,10,"seen frequently"
All,"Correlation and dependence",10,"seen frequently"
All,Database,10,"seen frequently"
All,"Food security",10,"seen frequently"
All,Geography,10,"seen frequently"
All,"Gross domestic product",10,"seen frequently"
All,Income,10,"seen frequently"
All,"Logistic regression",10,"seen more often than expected in this context"
All,"Natural environment",10,"seen frequently"
All,Policy,10,"seen frequently"
All,Subsidy,10,"seen frequently"
All,Tax,10,"seen frequently"
All,"Affordable housing",9,"seen frequently"
All,Agriculture,9,"seen frequently"
All,Brazil,9,"seen frequently"
All,"Climate change mitigation",9,"seen frequently"
All,"Climate resilience",9,"seen frequently"
All,"Cost–benefit analysis",9,"seen frequently"
All,Demography,9,"seen frequently"
All,"Economic development",9,"seen frequently"
All,Externality,9,"seen frequently"
All,Flood,9,"seen frequently"
All,"Market (economics)",9,"seen frequently"
All,"Quality of life",9,"seen frequently"
All,Brasília,8,"seen more often than expected in this context"
All,"Built environment",8,"seen more often than expected in this context"
All,Census,8,"seen frequently"
All,Commuting,8,"seen more often than expected in this context"
All,"Congestion pricing",8,"seen more often than expected in this context"
All,Culture,8,"seen frequently"
All,"Discrete choice",8,"seen more often than expected in this context"
All,Evaluation,8,"seen frequently"
All,Goiânia,8,"seen more often than expected in this context"
All,Investment,8,"seen frequently"
All,OECD,8,"seen frequently"
All,Parameter,8,"seen frequently"
All,"Public health",8,"seen frequently"
All,Simulation,8,"seen frequently"
All,"Traffic congestion",8,"seen more often than expected in this context"
All,Biodiversity,7,"seen frequently"
All,"Data analysis",7,"seen frequently"
All,Demand,7,"seen frequently"
All,"Developing country",7,"seen frequently"
All,Governance,7,"seen frequently"
All,"Heat wave",7,"seen more often than expected in this context"
All,Pollution,7,"seen frequently"
All,Population,7,"seen frequently"
All,"Probability distribution",7,"seen more often than expected in this context"
All,"Rail transport",7,"seen frequently"
All,"Sampling (statistics)",7,"seen frequently"
All,Suburb,7,"seen more often than expected in this context"
All,Analysis,6,"seen frequently"
All,Assumption,6,"seen frequently"
All,GTFS,3,"seen more often than expected in this context"
All,"General Transit Feed Specification",4,"seen more often than expected in this context"
All,"Sparse matrix",5,"seen more often than expected in this context"
All,"Travel behavior",4,"seen more often than expected in this context"
All,"Natal, Rio Grande do Norte",3,"seen more often than expected in this context"
All,"Programa Saúde da Família",3,"seen more often than expected in this context"
All,Fortaleza,6,"seen more often than expected in this context"
All,"Mode choice",6,"seen more often than expected in this context"
All,Belém,4,"seen more often than expected in this context"
All,Manaus,6,"seen more often than expected in this context"
All,Curitiba,6,"seen more often than expected in this context"
All,"Porto Alegre",5,"seen more often than expected in this context"
All,Recife,5,"seen more often than expected in this context"
All,OpenStreetMap,4,"seen more often than expected in this context"
All,Distance,5,"seen more often than expected in this context"
All,"Belo Horizonte",5,"seen more often than expected in this context"
All,Alagoas,5,"seen more often than expected in this context"
All,"Shared transport",3,"seen more often than expected in this context"
All,"Multinomial logistic regression",6,"seen more often than expected in this context"
All,"Capability approach",6,"seen more often than expected in this context"
All,"Google Scholar",3,"seen more often than expected in this context"
All,"Transportation planning",8,"seen more often than expected in this context"
All,"Bike path",3,"seen more often than expected in this context"
