Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source type","Source subtype",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors"
izade-d3e75805e3caee76efee97cb255a45bf,"Commuting, Wages, and Household Behavior",,"Working paper","IZA Institute of Labor Economics",Germany,,"think tank",,2024-07-05,0,0,https://www.iza.org/publications/dp/17128/commuting-wages-and-household-behavior,https://app.overton.io/document.php?policy_document_id=izade-d3e75805e3caee76efee97cb255a45bf,,,"Labour economics|Panel Study of Income Dynamics|Economics",eng,
bankofmexico-377d059c8178f0defb3f0df71e7c5d8f,"2024-02: Transporte Público y Precios al Consumidor: Tiendas de Cadena, Comercios Semifijos y Pequeños Negocios","2024-02: Public Transport and Consumer Prices: Chain Stores, Semi-Fixed Shops and Small Businesses","Working paper","Banco de México (Banxico)",Mexico,,government,bank,2024-05-16,0,0,https://www.banxico.org.mx/DIBM/web/documento/visor.html?clave=2024-02,https://app.overton.io/document.php?policy_document_id=bankofmexico-377d059c8178f0defb3f0df71e7c5d8f,,,"Point estimation|Bus rapid transit|Pricing",eng,"Angel Espinoza E."
trafa-7c601cd3c5c99a8cb10c04236cfd871a,"Tillgänglighet – teori och praktik","Accessibility – theory and practice",Publication,Trafikanalys,Sweden,,government,agency,2024-03-27,0,0,https://www.trafa.se/etiketter/transportovergripande/abc-om-tillganglighet-14556/,https://app.overton.io/document.php?policy_document_id=trafa-7c601cd3c5c99a8cb10c04236cfd871a,,,"Supply and demand|Measure (mathematics)|Information",swe,
anses-c7ac37fe22e32a2e5365df3d25ffdbdb,"Annexe de l'Avis de l'Anses relatif à l’état des connaissances sur l’influence du travail à distance sur la santé des travailleurs - Télétravail : Effets sur la santé et les conditions de travail - Revue de la littérature 2023","Annex to the ANSES Opinion relating to the state of knowledge on the influence of remote working on the health of workers - Teleworking: Effects on health and working conditions - Literature review 2023",Publication,ANSES,France,,government,"food and drug safety",2024-02-12,0,0,https://www.anses.fr/fr/system/files/AP2021SA0091-Anx-RapportCRD.pdf,https://app.overton.io/document.php?policy_document_id=anses-c7ac37fe22e32a2e5365df3d25ffdbdb,,,"Remote work|Outline of working time and conditions|COVID-19 pandemic",fre,
vtise-cdc0834de5885c7c8b874c6187500489,"Spatio-Temporal Investigation of Public Transport Demand Using Smart Card Data",,Publication,VTI,Sweden,,government,,2023-09-18,0,1,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1800939&c=448&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-cdc0834de5885c7c8b874c6187500489,,,"Ordinary least squares|Spatial analysis|Modifiable areal unit problem",eng,
parliamentofmexico-9cc4b09bac56dc1d859fcdfea8cdd001,"Gaceta Parlamentaria","Parliamentary Gazette",Publication,"Congreso General de los Estados Unidos Mexicanos",Mexico,,government,,2023-09-12,0,0,https://gaceta.diputados.gob.mx/PDF/65/2023/sep/20230912-IV-1-1.pdf,https://app.overton.io/document.php?policy_document_id=parliamentofmexico-9cc4b09bac56dc1d859fcdfea8cdd001,,,"Mexico|Concession (contract)|Rail transport",spa,
vtise-023d43a72e452154b60edc35d9caf885,"Walk this way : How do individuals with different preferences for active travel modes respond to walkability?",,Publication,VTI,Sweden,,government,,2023-07-10,0,1,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1785747&c=498&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-023d43a72e452154b60edc35d9caf885,,,"Logistic regression|Survey methodology|Walkability",eng,
izade-1a9d4d12437aab44e089702fc95f16be,"Feelings in Travel Episodes and Extreme Temperatures",,"Working paper","IZA Institute of Labor Economics",Germany,,"think tank",,2023-06-19,0,0,https://www.iza.org/publications/dp/16241/feelings-in-travel-episodes-and-extreme-temperatures,https://app.overton.io/document.php?policy_document_id=izade-1a9d4d12437aab44e089702fc95f16be,,,"Regression analysis|Standard score|Errors and residuals",eng,
oecddiscovery-d475296db0a72b14afd1641215c0ec17,"Distributional effects of urban transport policies to discourage car use",,"Working paper",OECD,IGO,,igo,,2023-03-03,2,5,https://dx.doi.org/https://doi.org/10.1787/8bf57103-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-d475296db0a72b14afd1641215c0ec17,,,"Parking|Road pricing|Tax",eng,"Robin Lindsey|Ioannis Tikoudis|Katherine Hassett"
ifs-8d9341a82fe288d69922f63f93a67979,"Identifying network ties from panel data: theory and an application to tax competition",,"Working paper","Institute for Fiscal Studies",UK,,"think tank",,2023-01-18,0,0,https://ifs.org.uk/publications/identifying-network-ties-panel-data-theory-and-application-tax-competition-0,https://app.overton.io/document.php?policy_document_id=ifs-8d9341a82fe288d69922f63f93a67979,,,"Generalized method of moments|Rank (linear algebra)|Ordinary least squares",eng,"Áureo de Paula|Imran Rasul"
