Position,Year,Organization,Where,Type
Member,September 2024-April 2025,Graduate Scholarship Review,"School of Earth, Environment and Society, McMaster University",Internal
Member,May 2024-April 2025,Library Representative,"School of Earth, Environment and Society, McMaster University",Internal
Member,May 2024-September 2024,AI Expert Panel: Teaching and Learning,McMaster University,Internal
Member,February 2024-March 2024,2024 CPM Committee,"School of Earth, Environment and Society, McMaster University",Internal
Mentor,September 2023-April 2024,Faculty of Science Mentorship Program,"Faculty of Science, McMaster University",Internal
Member,September 2021-March 2022,2022 NSERC CGM-Master Ranking Committee,"Faculty of Science, McMaster University",Internal
Member,February 2022-March 2022,2021 CPM Committee,"School of Earth, Environment and Society, McMaster University",Internal
Member,February 2020-March 2020,2019 CPM Committee,"School of Earth, Environment and Society, McMaster University",Internal
Member,July 2019-April 2020,Graduate Committee,"School of Earth, Environment and Society, McMaster University",Internal
Member,February 2019-March 2019,2018 CPM Committee,"School of Earth, Environment and Society, McMaster University",Internal
Chair,June 2018-April 2019,Search Committee Geology Hire,"School of Geography and Earth Sciences, McMaster University",Internal
Chair,June 2017-May 2018,Search Committee Teaching Stream Hire,"School of Geography and Earth Sciences, McMaster University",Internal
Member,July 2014-July 2015,Teaching Workload Committee,"School of Geography and Earth Sciences, McMaster University",Internal
Member,January 2013-July 2013,University Librarian Search Committee,McMaster University,Internal
Member,July 2011-July 2014,Space Committee,"School of Geography and Earth Sciences, McMaster University",Internal
Member,July 2010-July 2013,Tenure and Promotion Committee,"Faculty of Science, McMaster University",Internal
Member,July 2010-July 2011,"High School and Community Outreach, Publicity Committee","School of Geography and Earth Sciences, McMaster University",Internal
Member,July 2009-July 2010,Building safety committee,"School of Geography and Earth Sciences, McMaster University",Internal
Member,July 2007-July 2008,Space Committee,"School of Geography and Earth Sciences, McMaster University",Internal
Member,July 2006-July 2008,Publicity Committee,"School of Geography and Earth Sciences, McMaster University",Internal
Member,September 2006-April 2007,Search Committee Geography Hire,"School of Geography and Earth Sciences, McMaster University",Internal
Member,July 2003-July 2008,Graduate Committee,"School of Geography and Earth Sciences, McMaster University",Internal
Member,September 2003-April 2004,Search Committee Geography Hire,"School of Geography and Geology, McMaster University",Internal
