Title,Year,Organization,Where,What,Role
"H{\""a}gerstrand meets big data: time-geography in the age of mobility analytics",March 21-2024,"Planning and Transport Research Centre, The University of Western Australia","Perth, Australia",John Taplin Memorial Lecture,Keynote Speaker
Collaborative Reproducible Research using R and GitHub Illustrated with a Spatial Analysis Project,March 20 and 22-2024,"Business Data Analytics, The University of Western Australia","Perth, Australia",Workshop,Instructor
"Introducing spatial availability, a singly-constrained accessibility measure",February 20-2024,Karlsruhe Institute of Technology-ITAS,"Karlsruhe, Germany",Workshop,Instructor
"H{\""a}gerstrand meets big data: time-geography in the age of mobility analytics",December 4-2023,Instituto Nacional de Pesquisas Espaciais,"S\~{a}o Jos\'{e} dos Campos, Brazil",GEOINFO 2023,Keynote Speaker
Open Science for All,October 17-2023,McMaster ReproducibiliTea,"Hamilton, Canada",Invited Talk,Speaker
"Introducing spatial availability, a singly-constrained accessibility measure",October 7-2023,Polytechique Montr\'{e}al,"Montr\'{e}al, Canada",Workshop,Instructor
Ciencia Abierta para Todos (Open Science for All),June 27-2023,Universidad de Murcia,"Murcia, Spain",VIII Jornadas Doctorales,Keynote Speaker
Reality or wishful thinking: Network attributes of 15-minute neighbourhoods,June 22-2023,Universidade de Coimbra,"Coimbra, Portugal",NECTAR Joint Workshop Clusters 6 and 7 on Urban and Transport Planning for Sustainable Urban Living,Presenter
Profiling the 15-min pedshed from the perspective of network attributes,June 14-2023,Polytechique Montr\'{e}al,"Montr\'{e}al, Canada",Colloque Annuel de la Chaire Mobilit\'{e},Presenter
"Open Educational Resources: What, Why and How?",June 12-2023,Universidad Complutense de Madrid,"Madrid, Spain",Unsolicited Advice,Presenter
"Workshop: Writing a McMaster thesis with R, markdown, and {macdown}",April 14 and 21-2023,McMaster University,"Hamilton, Canada",Unsolicited Advice,Instructor
How is active school travel (AST) framed in Ontario,April 7-2023,"New York University, Center for Urban Science and Progress",New York City,Invited Seminar,Presenter
Spatial availability: a way to measure accessibility to competitive opportunities,February 17-2023,Northern Illinois University,"DeKalb, Illinois, USA",Invited Seminar,Presenter
Reproducible Research Workflow,January 26-2023,Research Data Management Community of Practice - McMaster University,"Hamilton, Canada",Invited Talk,Speaker
An introduction to exploratory data analysis in R,"November 14, 17, and 18-2022",Alma Mater Studiorum - Università di Bologna in Rimini,"Rimini, Italy",Invited workshop,Instructor
An introduction to exploratory data analysis in R,"June 10, 20, 24, 27 and 29-2022",Gran Sasso Science Institute,"L'Aquila, Italy",Invited workshop,Instructor
Accessibility and Threshold Selection,May 20-2022,Polytechique Montr\'{e}al,"Montr\'{e}al, Canada",Unsolicited Advice,Presenter
"Framing Active School Travel in Ontario, Canada",May 19-2022,Polytechique Montr\'{e}al,"Montr\'{e}al, Canada",Colloque Annuel de la Chaire Mobilit\'{e},Presenter
Mobilizing Justice: Developing Data-Driven Equity Standards,May 4-2022,Newcastle University,"Newcastle-upon-Tyne, UK",Invited Seminar,Presenter
Spatial Data and Analytics,May 3-2022,Alan Turing Institute,"Newcastle-upon-Tyne, UK",SAD Interview,Interviewee
Creating Programmatic CVs with R,April 4-2022,"School of Earth, Environment and Society, McMaster University","Hamilton, Canada",Unsolicited Advice,Presenter
Developing a companion package to support teaching spatial statistics with Introduction to Spatial Data Analysis and Statistics,March 7-2022,MacPherson Institute and McMaster University Library,"Hamilton, Canada",Lightning Round: Teaching in the Open at McMaster,Panelist
Introducing Spatial Availability: A Singly Constrained Measure of Accessibility,December 10-2021,Instituto de Pesquisa Econ\^{o}mica Aplicada,"Brasilia, Brazil",Invited Talk,Speaker
Investigaci\'{o}n Reproducible,November 29-2021,Doctorado en Econom\'{i}a Interuniversitario,"Cartagena, Spain",VI Jornadas de Doctorado y Seminarios Novel,Keynote Speaker
Creation of a Living Textbook for Teaching Spatial Statistics,October 28-2021,MacPherson Institute and McMaster University Library,"Hamilton, Canada",Lightning Round: Teaching in the Open at McMaster,Panelist
Examining spatial equity of bike share: A balanced floating catchment area approach,May 25-2021,Polytechique Montr\'{e}al,"Montr\'{e}al, Canada",Colloque Annuel de la Chaire Mobilit\'{e},Presenter
What's a school worth to a neighborhood,March 17- 2021,Gran Sasso Science Institute,"L'Aquila, Italy",Invited Seminar,Presenter
Transportation research seminar,October 1-2020,ITE Transportation Research Seminar (McMaster Chapter),"Hamilton, Canada",Invited Talk,Speaker
Using CycleStreets and spatial interaction analysis to infer cycling routes,June 16-2020,Polytechique Montr\'{e}al,"Montr\'{e}al, Canada",Colloque Annuel de la Chaire Mobilit\'{e},Presenter
